source_neuron,target_neuron,weight
ORN_apple_1,PN_glomerulus_A,0.85
ORN_apple_1,PN_glomerulus_B,0.40
ORN_apple_2,PN_glomerulus_A,0.70
ORN_apple_2,PN_glomerulus_C,0.30
ORN_banana_1,PN_glomerulus_B,0.90
ORN_banana_1,PN_glomerulus_C,0.60
ORN_banana_2,PN_glomerulus_C,0.80
ORN_banana_2,PN_glomerulus_D,0.50
ORN_danger_1,PN_glomerulus_D,0.95
ORN_danger_1,PN_glomerulus_E,0.70
ORN_danger_2,PN_glomerulus_E,0.85
PN_glomerulus_A,KC_claw_1,0.75
PN_glomerulus_A,KC_claw_2,0.60
PN_glomerulus_A,KC_claw_3,0.30
PN_glomerulus_B,KC_claw_2,0.80
PN_glomerulus_B,KC_claw_4,0.65
PN_glomerulus_C,KC_claw_3,0.70
PN_glomerulus_C,KC_claw_5,0.85
PN_glomerulus_D,KC_claw_4,0.50
PN_glomerulus_D,KC_claw_6,0.90
PN_glomerulus_E,KC_claw_5,0.60
PN_glomerulus_E,KC_claw_6,0.80
KC_claw_1,MBON_approach_1,0.70
KC_claw_1,MBON_approach_2,0.40
KC_claw_2,MBON_approach_1,0.85
KC_claw_2,MBON_memory_1,0.60
KC_claw_3,MBON_approach_2,0.75
KC_claw_3,MBON_avoidance_1,0.35
KC_claw_4,MBON_memory_1,0.80
KC_claw_4,MBON_avoidance_1,0.50
KC_claw_5,MBON_avoidance_1,0.90
KC_claw_5,MBON_avoidance_2,0.65
KC_claw_6,MBON_avoidance_2,0.85
KC_claw_6,MBON_alarm_1,0.95
MBON_approach_1,DN_flight_forward,0.90
MBON_approach_1,DN_proboscis_extend,0.60
MBON_approach_2,DN_flight_forward,0.80
MBON_approach_2,DN_turn_left,0.45
MBON_memory_1,DN_flight_forward,0.70
MBON_memory_1,DN_turn_right,0.50
MBON_avoidance_1,DN_jump_escape,0.90
MBON_avoidance_1,DN_turn_left,0.75
MBON_avoidance_2,DN_jump_escape,0.85
MBON_avoidance_2,DN_turn_right,0.70
MBON_alarm_1,DN_jump_escape,0.95
